iter	Passed	Remaining
408	5238	1165
409	5250	1152
410	5263	1139
411	5274	1126
412	5287	1113
413	5299	1100
414	5311	1087
415	5322	1074
416	5334	1061
417	5346	1048
418	5358	1035
419	5370	1023
420	5384	1010
421	5399	997
422	5415	985
423	5430	973
424	5445	960
425	5459	948
426	5474	935
427	5487	923
428	5501	910
429	5514	897
430	5528	885
431	5542	872
432	5556	859
433	5570	847
434	5585	834
435	5599	821
436	5615	809
437	5630	796
438	5644	784
439	5659	771
440	5673	759
441	5690	746
442	5705	734
443	5720	721
444	5735	708
445	5750	696
446	5765	683
447	5779	670
448	5795	658
449	5810	645
450	5828	633
451	5845	620
452	5862	608
453	5877	595
454	5892	582
455	5905	569
456	5917	556
457	5929	543
458	5944	530
459	5960	518
460	5973	505
461	5988	492
462	6002	479
463	6017	466
464	6030	453
465	6043	440
466	6055	427
467	6067	414
468	6080	401
469	6091	388
470	6103	375
471	6114	362
472	6125	349
473	6136	336
474	6146	323
475	6157	310
476	6168	297
477	6180	284
478	6191	271
479	6202	258
480	6213	245
481	6225	232
482	6236	219
483	6248	206
484	6259	193
485	6270	180
486	6281	167
487	6292	154
488	6305	141
489	6317	128
490	6329	116
491	6341	103
492	6354	90
493	6366	77
494	6380	64
495	6393	51
496	6406	38
497	6418	25
498	6429	12
499	6440	0
